Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Honda,Wave,1996,20000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,1500000
Piaggio,Liberty,2014,3000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9500000
Honda,Cub,1992,70000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,12000000
Yamaha,Exciter,2014,29000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9300000
Yamaha,Nouvo,2011,55555,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,6200000
Honda,Vision,2019,18560,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,24000000
Yamaha,Cuxi,2018,3400,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10200000
SYM,Elegant,2022,3939,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,11800000
Hãng khác,Dòng khác,2023,12345,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2600000
Yamaha,Nouvo,2007,36,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2250000
Suzuki,Sport / Xipo,1998,1,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,196000000
Honda,Vario,2018,15150,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,58000000
Honda,Wave,2010,17000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12500000
Honda,PCX,2015,24000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,33000000
Honda,Cub,1999,350000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,8700000
Honda,SH,2005,9999,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,49000000
Hãng khác,Dòng khác,2006,10000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9800000
Honda,Air Blade,2010,5332,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,15800000
Honda,Winner,2016,10,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,20000000
Yamaha,Sirius,2007,29000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7800000
Honda,Dream,1996,118888,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15500000
Yamaha,Sirius,2011,43000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,7000000
Yamaha,Nvx,2018,19000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,33800000
