Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Yamaha,Janus,2021,7000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,26000000
Piaggio,Primavera,2019,5000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,52000000
Honda,Wave,2014,35000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11555555
Yamaha,Exciter,2010,45000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32500000
Honda,Dream,2001,15000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7600000
Yamaha,Grande,2019,9998,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32000000
Piaggio,Sprint,2022,4800,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,85000000
Honda,Lead,2013,1800,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7500000
Yamaha,Sirius,2012,45000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8800000
Honda,Air Blade,2008,111111,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10000000
Honda,Air Blade,2008,95000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13300000
Yamaha,Exciter,2021,9000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32500000
Yamaha,Nvx,2017,15678,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,24500000
Honda,Dòng khác,2021,8000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,210000000
Honda,Vision,2019,18236,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,29600000
Honda,Vario,2019,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,42000000
Piaggio,Liberty,2014,16200,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7600000
Piaggio,LX,2010,123456,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,1150000
