Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Yamaha,Nozza,2014,16000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.800.000 đ
Honda,Air Blade,2013,900000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,20.500.000 đ
Honda,Vision,2019,18236,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,29.600.000 đ
Honda,@,2007,123456,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,8.000.000 đ
Yamaha,Exciter,2013,2499,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.800.000 đ
Honda,Air Blade,2023,1000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,41.500.000 đ
Yamaha,Grande,2015,16000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,19.800.000 đ
SYM,Dòng khác,2005,30,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2.600.000 đ
Honda,Lead,2013,52220,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.000.000 đ
Honda,Lead,2016,16000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.800.000 đ
Honda,Vario,2022,4800,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,36.800.000 đ
Honda,Vision,2021,1199,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23.500.000 đ
Honda,Wave,2017,58700,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.400.000 đ
Honda,Dream,1998,33,Đã sử dụng,Xe số,50 - 100 cc,Thái Lan,Bảo hành hãng,25.000.000 đ
Yamaha,Grande,2018,22000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,24.300.000 đ
SYM,Shark,2011,5,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.500.000 đ
Yamaha,Jupiter,2018,20000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,20.500.000 đ
Piaggio,LX,2008,5,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.000.000 đ
Honda,Air Blade,2012,6952,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15.500.000 đ
Honda,Vision,2019,40000,Đã sử dụng,Tay ga,Không biết rõ,Đang cập nhật,Bảo hành hãng,28.000.000 đ
Honda,Dream,1996,45655,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.800.000 đ
Honda,Lead,2023,1,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38.000.000 đ
Hãng khác,Dòng khác,2009,12345,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3.900.000 đ
